Country,Literacy Rate,GDP (Current USD),,GDP Growth (% Annual),GDP per Capita (Current USD),,Unemployment Rate (%)
Liberia,48.3,,4240000000,4.683756888,771.8871421,,2.933
Libya,91,,45096462972,10.15581818,6172.812469,,18.753
Liechtenstein,100,,6378026882,3,168647.5685,,2.4
Lithuania,99.8,,79789877416,0.342262552,27786.00578,,6.841
Luxembourg,100,,85755006124,-1.095723616,128678.1899,,5.184
Madagascar,74.8,,15790113247,3.8,506.1593687,,3.069
Malawi,65.8,,12712150082,1.892457988,602.3436198,,5.033
Malaysia,95.9,,3.99705E+11,3.555487154,11379.0861,,3.869
Maldives,98.6,,6590894302,4.72639189,12530.36024,,4.241
Mali,35.5,,20661794596,4.656775991,869.2702343,,2.956
Malta,94.5,,22328640242,7.498512459,40395.76921,,3.11
Marshall Islands,98.3,,259300000,-3.934871099,6678.342391,,36
Mauritania,52.1,,10651709411,6.507187199,2120.823204,,10.446
Mauritius,91.3,,14644524819,6.958287403,11613.04416,,5.571
Mexico,95.2,,1.78911E+12,3.199981166,13790.02434,,2.765
Federated States of Micronesia,89,,460000000,0.784313725,4084.169404,,16.2
Moldova,99.4,,16539436547,0.78324271,6729.412868,,1.555
Monaco,100,,9995350547,5.043382592,256580.5151,,2
Mongolia,99.2,,20325121394,7.422112762,5838.631081,,5.503
Montenegro,98.7,,7530593375,6.337697542,12221.47755,,14.621
Morocco,73.8,,1.44417E+11,3.403341301,3771.446289,,9.044
Mozambique,60.7,,20954220984,5.436859122,622.9856193,,3.519
Myanmar,89.1,,66757619000,0.958446625,1233.196662,,3.032
Namibia,92.6,,12351025067,4.159985755,4168.285211,,19.365
Nauru,96.5,,154170289.3,0.590699676,12982.76121,,23
Nepal,71,,40908073367,1.952544633,1377.626036,,10.628
Netherlands,99,,1.15436E+12,0.074560722,64572.00596,,3.537
New Zealand,99,,2.52176E+11,0.733302172,48280.81142,,3.729
Nicaragua,83.6,,17829218219,4.569223171,2612.870662,,4.716
Niger,35,,16819170421,2.5,642.9379179,,0.425
Nigeria,62,,3.63846E+11,2.860214991,1596.636961,,3.074
North Korea,100,,15000000000,-4.5,583,,2.7
North Macedonia,98.9,,15763621848,2.072749779,8624.293609,,13.174
Norway,99,,4.85311E+11,0.479647246,87925.09442,,3.572
Oman,95.7,,1.08811E+11,1.310440113,21549.83687,,3.176
Pakistan,58,,3.37912E+11,-0.039692523,1365.277432,,5.408
Palau,99.4,,281849062.5,1.877069798,15899.42249,,1.7
Palestinian National Authority,97.4,,17420800000,-5.410937,3372.349744,,24.4
Panama,95.4,,83318176900,7.399301556,18686.4051,,6.544
